,product_name,main_category,main_category_en,image_url,energy,energy_from_fat,fat,saturated_fat,butyric_acid,caproic_acid,caprylic_acid,capric_acid,lauric_acid,myristic_acid,palmitic_acid,stearic_acid,arachidic_acid,behenic_acid,lignoceric_acid,cerotic_acid,montanic_acid,melissic_acid,monounsaturated_fat,polyunsaturated_fat,omega_3_fat,alpha_linolenic_acid,eicosapentaenoic_acid,docosahexaenoic_acid,omega_6_fat,linoleic_acid,arachidonic_acid,gamma_linolenic_acid,dihomo_gamma_linolenic_acid,omega_9_fat,oleic_acid,elaidic_acid,gondoic_acid,mead_acid,erucic_acid,nervonic_acid,trans_fat,cholesterol,carbohydrates,sugars,sucrose,glucose,fructose,lactose,maltose,maltodextrins,starch,polyols,fiber,proteins,casein,serum_proteins,nucleotides,salt,sodium,alcohol,vitamin_a,beta_carotene,vitamin_d,vitamin_e,vitamin_k,vitamin_c,vitamin_b1,vitamin_b2,vitamin_pp,vitamin_b6,vitamin_b9,folates,vitamin_b12,biotin,pantothenic_acid,silica,bicarbonate,potassium,chloride,calcium,phosphorus,iron,magnesium,zinc,copper,manganese,fluoride,selenium,chromium,molybdenum,iodine,caffeine,taurine,ph,fruits_vegetables_nuts,fruits_vegetables_nuts_estimate,collagen_meat_protein_ratio,cocoa,chlorophyl,carbon_footprint,nutrition_score_fr,nutrition_score_uk,glycemic_index,water_hardness
0,Cornish Cruncher Cheddar & Pickled Onion Hand Cooked,en:salty-snacks,Salty snacks,,2049.0,,26.5,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.7,2.5,,,,,,,,,6.3,6.2,,,,1.18,0.4645669291338579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,,
1,Cracked Black Pepper & Salted Popped Potato Chips,en:salty-snacks,Salty snacks,,1791.0,,,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,4.7,6.9,,,,1.65,0.649606299212598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,17.0,,
2,Chips de légumes,en:salty-snacks,Salty snacks,http://en.openfoodfacts.org/images/products/00107860/front.3.400.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Tims extra thick and crunchy jalapeno potato chips,en:salty-snacks,Salty snacks,http://en.openfoodfacts.org/images/products/001/159/402/2026/front.3.400.jpg,879.0,502.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,22.5,0.0,,,,,,,,,1.0,3.0,,,,0.4953,0.195,0.0,0.0,,,,,0.0072,,,,,,,,,,,,,,0.0,,0.00054,,,,,,,,,,,,,,,,,,,3.0,3.0,,
4,Original Kettle Style Potato Chips,en:salty-snacks,Salty snacks,http://en.openfoodfacts.org/images/products/001/159/420/2107/front.7.400.jpg,2090.0,1200.0,32.1,8.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,53.6,0.0,,,,,,,,,3.57,3.57,,,,0.998,0.393,,0.0,,,,,0.0214,,,,,,,,,,,,,,0.0,,0.00129,,,,,,,,,,,,,,,,,,,13.0,13.0,,
