,product_name,main_category,main_category_en,image_url,energy,energy_from_fat,fat,saturated_fat,butyric_acid,caproic_acid,caprylic_acid,capric_acid,lauric_acid,myristic_acid,palmitic_acid,stearic_acid,arachidic_acid,behenic_acid,lignoceric_acid,cerotic_acid,montanic_acid,melissic_acid,monounsaturated_fat,polyunsaturated_fat,omega_3_fat,alpha_linolenic_acid,eicosapentaenoic_acid,docosahexaenoic_acid,omega_6_fat,linoleic_acid,arachidonic_acid,gamma_linolenic_acid,dihomo_gamma_linolenic_acid,omega_9_fat,oleic_acid,elaidic_acid,gondoic_acid,mead_acid,erucic_acid,nervonic_acid,trans_fat,cholesterol,carbohydrates,sugars,sucrose,glucose,fructose,lactose,maltose,maltodextrins,starch,polyols,fiber,proteins,casein,serum_proteins,nucleotides,salt,sodium,alcohol,vitamin_a,beta_carotene,vitamin_d,vitamin_e,vitamin_k,vitamin_c,vitamin_b1,vitamin_b2,vitamin_pp,vitamin_b6,vitamin_b9,folates,vitamin_b12,biotin,pantothenic_acid,silica,bicarbonate,potassium,chloride,calcium,phosphorus,iron,magnesium,zinc,copper,manganese,fluoride,selenium,chromium,molybdenum,iodine,caffeine,taurine,ph,fruits_vegetables_nuts,fruits_vegetables_nuts_estimate,collagen_meat_protein_ratio,cocoa,chlorophyl,carbon_footprint,nutrition_score_fr,nutrition_score_uk,glycemic_index,water_hardness
800,Extra Ginger Beer Reed's,en:beverages,Beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930,Pressed carrot juice,en:beverages,Beverages,,88.0,,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,4.0,,,,,,,,,0.0,0.7,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,,
931,Fresh Drinking Coconut,en:beverages,Beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665,"D' Sabor, Aloe Vera Juice Drink, Pineapple",en:beverages,Beverages,,117.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7.6,7.6,,,,,,,,,0.0,0.0,,,,0.04318,0.017,,,,,,,,,,,,,,,,,,,,,0.016,,,,,,,,,,,,,,,,,,,,,10.0,1.0,,
1666,"D' Sabor, Aloe Vera Juice Drink",en:beverages,Beverages,,117.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7.6,7.6,,,,,,,,,0.0,0.0,,,,0.04318,0.017,,,,,,,,,,,,,,,,,,,,,0.016,,,,,,,,,,,,,,,,,,,,,10.0,1.0,,
3418,,en:beverages,Beverages,http://en.openfoodfacts.org/images/products/001/111/081/6405/front.3.400.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3828,"Aloe Vera Drink, Original",en:beverages,Beverages,,192.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10.83,9.58,,,,,,,,,0.0,0.0,,,,0.0381,0.015,,0.0,,,,,0.005,,,,,,,,,,,,,,0.042,,0.00015,,,,,,,,,,,,,,,,,,,14.0,2.0,,
4434,"Aloe Vera Drink, Pomegranate",en:beverages,Beverages,,192.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10.83,9.58,,,,,,,,,0.0,0.0,,,,0.0381,0.015,,0.0,,,,,0.005,,,,,,,,,,,,,,0.042,,0.00015,,,,,,,,,,,,,,,,,,,14.0,2.0,,
6744,"Kimura Ramune Soft Drink Carbonated, Melon Flavor",en:beverages,Beverages,,188.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,,,,,,,,,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,1.0,,
6787,Original Aloe Vera Drink,en:beverages,Beverages,,50.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3.33,3.33,,,,,,,,,0.4,0.0,,,,0.0381,0.015,,0.0,,,,,0.0005,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,5.0,0.0,,
6788,Aloe Vera Drink,en:beverages,Beverages,,50.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3.33,3.33,,,,,,,,,0.4,0.0,,,,0.05334,0.021,,0.0,,,,,0.0005,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,5.0,0.0,,
6892,British Blend Premium Black Tea,en:beverages,Beverages,http://en.openfoodfacts.org/images/products/001/115/605/4502/front.11.400.jpg,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9694,"Apple, watermelon and raspberry juice",en:beverages,Beverages,,167.0,,0.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,8.4,,,,,,,,,0.5,0.5,,,,0.08,0.031496063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1.0,,
9929,Honey Soy Drink,en:beverages,Beverages,http://en.openfoodfacts.org/images/products/001/164/500/4315/front.4.400.jpg,199.0,,0.625,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,8.75,7.92,,,,,,,,,0.0,2.08,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.008329999999999999,,0.0003,,,,,,,,,,,,,,,,,,,0.0,0.0,,
